adj.P.Val,logFC,P.Value
0.9916692318,0.1530257792,0.823557522
0.9996008181,0.0025119953,0.985614055
0.9724066933,0.1459235716,0.6697405022
0.9973745623,0.0136974075,0.9223392162
0.6697902086,-0.2097709152,0.150457504
0.5381223753,0.6463769441,0.086268557
0.9609013862,0.12792277,0.6205486941
0.9970467288,-0.1447438405,0.9189852879
0.4157210616,-0.4980365304,0.0477830864
0.9830961358,-0.1379217272,0.7428023376
0.8883921777,-0.1868495324,0.4032470088
0.8106451736,-0.2375615751,0.2765908529
0.9157548824,-0.2046414846,0.4633619628
0.9510084492,-0.2708229248,0.5835108156
0.9975467058,-0.0205843304,0.9336178214
0.3632756695,-0.9510641687,0.036762716
0.1340033564,-0.446385065,0.0060868514
0.9947273519,-0.0959515768,0.8677032255
0.9916692318,-0.0517010402,0.8113981937
0.9816638864,-0.4683944907,0.7237093746
0.4260456165,-0.320852278,0.0504279801
0.9988268818,-0.0254839997,0.942903623
0.6600313983,-0.4461082476,0.1454715198
0.6056820495,-0.2568806076,0.1143575623
0.351777369,-0.5138474793,0.0343718482
0.9745849579,-0.2944813177,0.6845989103
0.9233941115,-0.4011964655,0.4906630239
0.4216064341,-0.3042564599,0.0491256633
0.9947273519,-0.0474559639,0.8628172843
0.9947273519,0.0462861913,0.878674693
0.892815538,-0.3706104914,0.4113954211
0.9402907355,-0.3961657151,0.540405325
0.9995327291,-0.0375868625,0.9803200249
0.9155243674,-0.2236223669,0.4618303773
0.9995327291,-0.0111474945,0.983420527
0.9994796892,-0.0507014489,0.9463103048
0.6543807894,0.2502739965,0.1417706578
0.9673477354,-0.2491204136,0.6444620706
0.991,-0.096685957,0.8008359546
0.9770103795,0.1950175273,0.7014001856
0.9819264495,-0.1299177708,0.734478414
0.9548974193,-0.2627775074,0.5958901249
0.7993983455,-0.1796459321,0.2628790774
0.9916692318,-0.0615206039,0.8248131178
0.9697975981,0.0536272361,0.6596194189
0.9581403318,-0.0471784425,0.6084374151
0.4684564086,-1.6342293292,0.0627509187
0.4726366844,0.6787731273,0.0637758496
0.9219983226,-0.09622541,0.4857269731
0.8664021672,1.1507479361,0.3575720701
0.5543228894,-1.5518961098,0.0933815394
0.9013318481,-0.1792198929,0.4277338149
0.96628347,-0.1174618853,0.6340997535
0.9947273519,-0.2763152139,0.8738555448
0.988269408,0.2498416833,0.7743856161
0.8648110756,-0.4084212566,0.3542119517
0.8995146588,-0.151523904,0.4255085389
0.9947273519,-0.0616025732,0.895889882
0.9832003854,-0.2836023432,0.7445944966
0.1795166898,-0.6895938268,0.0101150001
0.9928067055,0.0501985412,0.8295284949
0.9160752883,-0.2228012747,0.4644208715
0.7565911839,0.4878713306,0.2195545382
0.5540164753,-0.8100569056,0.0932720766
0.9422804872,0.5060732742,0.544414252
0.6524594898,-0.7506935465,0.1400658567
0.934810573,-0.2129212947,0.5227239648
0.984594308,0.2700880179,0.7511482753
0.9890455612,0.0942429993,0.7871333285
0.9712232698,0.1715473731,0.6657177601
0.9830961358,0.101210161,0.7415616414
0.8374367422,-0.3569181394,0.311340904
0.9999047411,-0.0003474695,0.9995843431
0.9816638864,-0.2212599163,0.7276832535
0.9204825438,-0.3723029879,0.4770682234
0.9994796892,-0.0126065498,0.9650992809
0.6671612442,-0.2758611611,0.1492828458
0.4741713128,-0.4142817703,0.0641594964
0.8957234625,-0.184114086,0.4158431775
0.9935944417,-0.1159524241,0.8363140803
0.6470220213,-0.5728345088,0.135826104
1.19E-09,1.2434424572,2.17E-12
0.8763963875,-0.5060480255,0.3804790147
0.9924860248,0.1035394273,0.8271998101
0.9999047411,0.0007911526,0.9985507966
0.2401312142,0.4211146691,0.0165272496
0.8167752369,-0.6067682324,0.2851840219
0.9644025031,-0.3173987449,0.6295085741
0.9916692318,-0.2264199913,0.821529591
0.3893694811,0.8432249299,0.0423677999
0.9912733756,0.2255939993,0.8002903788
0.9898250118,0.0642594922,0.7921069776
0.9885137993,-0.0835202959,0.7758532771
0.9973745623,0.0640412013,0.9303600279
0.9907177426,-0.2871605142,0.7964899702
0.9916692318,-0.0495720363,0.8090229168
0.5642957732,0.3537030842,0.0975969237
